Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
"▼ dim_grocery_tag   (base table, 4 cols)",,,dimension.dim_grocery_tag,
NP,Data representing the np.,"dimension.dim_grocery_tag.""NP""",dimension.dim_grocery_tag,
Most likely to churn,Data representing the most likely to churn.,"dimension.dim_grocery_tag.""Most likely to churn""",dimension.dim_grocery_tag,
Type,Data representing the type.,"dimension.dim_grocery_tag.""Type""",dimension.dim_grocery_tag,
Category,Timestamp or date indicating when category occurred.,"dimension.dim_grocery_tag.""Category""",dimension.dim_grocery_tag,
"▼ dim_home_service_buyer_np   (base table, 5 cols)",,,dimension.dim_home_service_buyer_np,
Bap Id,Unique identifier for the Buyer App (BAP).,"dimension.dim_home_service_buyer_np.""Bap Id""",dimension.dim_home_service_buyer_np,
Buyer NP,Data representing the buyer np.,"dimension.dim_home_service_buyer_np.""Buyer NP""",dimension.dim_home_service_buyer_np,
Domain,"The ONDC network domain (e.g., retail, logistics).","dimension.dim_home_service_buyer_np.""Domain""",dimension.dim_home_service_buyer_np,
Date,Timestamp or date indicating when date occurred.,"dimension.dim_home_service_buyer_np.""Date""",dimension.dim_home_service_buyer_np,
TSP Powered,Data representing the tsp powered.,"dimension.dim_home_service_buyer_np.""TSP Powered""",dimension.dim_home_service_buyer_np,
"▼ dim_home_service_seller_np   (base table, 5 cols)",,,dimension.dim_home_service_seller_np,
Domain,"The ONDC network domain (e.g., retail, logistics).","dimension.dim_home_service_seller_np.""Domain""",dimension.dim_home_service_seller_np,
Date,Timestamp or date indicating when date occurred.,"dimension.dim_home_service_seller_np.""Date""",dimension.dim_home_service_seller_np,
TSP Powered,Data representing the tsp powered.,"dimension.dim_home_service_seller_np.""TSP Powered""",dimension.dim_home_service_seller_np,
Bpp Id,Unique identifier for the Seller App (BPP).,"dimension.dim_home_service_seller_np.""Bpp Id""",dimension.dim_home_service_seller_np,
Seller NP,Data representing the seller np.,"dimension.dim_home_service_seller_np.""Seller NP""",dimension.dim_home_service_seller_np,
"▼ dim_igm_bap   (base table, 2 cols)",,,dimension.dim_igm_bap,
bap_id,Unique identifier for the Buyer App (BAP).,"dimension.dim_igm_bap.""bap_id""",dimension.dim_igm_bap,
bap_name,Name of the bap.,"dimension.dim_igm_bap.""bap_name""",dimension.dim_igm_bap,
"▼ dim_igm_bpp   (base table, 2 cols)",,,dimension.dim_igm_bpp,
bpp_id,Unique identifier for the Seller App (BPP).,"dimension.dim_igm_bpp.""bpp_id""",dimension.dim_igm_bpp,
bpp_name,Name of the bpp.,"dimension.dim_igm_bpp.""bpp_name""",dimension.dim_igm_bpp,
"▼ dim_insurance_bap   (base table, 2 cols)",,,dimension.dim_insurance_bap,
subscriber_id,Unique identifier for subscriber.,"dimension.dim_insurance_bap.""subscriber_id""",dimension.dim_insurance_bap,
np_name,Name of the np.,"dimension.dim_insurance_bap.""np_name""",dimension.dim_insurance_bap,
"▼ dim_insurance_bpp   (base table, 2 cols)",,,dimension.dim_insurance_bpp,
subscriber_id,Unique identifier for subscriber.,"dimension.dim_insurance_bpp.""subscriber_id""",dimension.dim_insurance_bpp,
np_name,Name of the np.,"dimension.dim_insurance_bpp.""np_name""",dimension.dim_insurance_bpp,
"▼ dim_logistics_cancellation_code   (base table, 11 cols)",,,dimension.dim_logistics_cancellation_code,CREATE UNIQUE INDEX idx_dim_logistics_cancellation_code_unique ON dimension.dim_logistics_cancellation_code USING btree (code)
code,Data representing the code.,"dimension.dim_logistics_cancellation_code.""code""",dimension.dim_logistics_cancellation_code,
type,Data representing the type.,"dimension.dim_logistics_cancellation_code.""type""",dimension.dim_logistics_cancellation_code,
delivery_type,Data representing the delivery type.,"dimension.dim_logistics_cancellation_code.""delivery_type""",dimension.dim_logistics_cancellation_code,
phase,Data representing the phase.,"dimension.dim_logistics_cancellation_code.""phase""",dimension.dim_logistics_cancellation_code,
reason_for_cancellation,Timestamp or date indicating when reason for cancellation occurred.,"dimension.dim_logistics_cancellation_code.""reason_for_cancellation""",dimension.dim_logistics_cancellation_code,
is_triggers_rto,Indicates Return To Origin (RTO) status.,"dimension.dim_logistics_cancellation_code.""is_triggers_rto""",dimension.dim_logistics_cancellation_code,
by,Data representing the by.,"dimension.dim_logistics_cancellation_code.""by""",dimension.dim_logistics_cancellation_code,
attributed_to,Timestamp or date indicating when attributed to occurred.,"dimension.dim_logistics_cancellation_code.""attributed_to""",dimension.dim_logistics_cancellation_code,
whether_applicable_for_part_cancel,Data representing the whether applicable for part cancel.,"dimension.dim_logistics_cancellation_code.""whether_applicable_for_part_cancel""",dimension.dim_logistics_cancellation_code,
sorting,Data representing the sorting.,"dimension.dim_logistics_cancellation_code.""sorting""",dimension.dim_logistics_cancellation_code,
settlement_suggestions_to_be_incorporated,Timestamp or date indicating when settlement suggestions to be incorporated occurred.,"dimension.dim_logistics_cancellation_code.""settlement_suggestions_to_be_incorporated""",dimension.dim_logistics_cancellation_code,
"▼ dim_logistics_category   (base table, 2 cols)",,,dimension.dim_logistics_category,
network_retail_order_category,Timestamp or date indicating when network retail order category occurred.,"dimension.dim_logistics_category.""network_retail_order_category""",dimension.dim_logistics_category,
category,Timestamp or date indicating when category occurred.,"dimension.dim_logistics_category.""category""",dimension.dim_logistics_category,
"▼ dim_logistics_np   (base table, 4 cols)",,,dimension.dim_logistics_np,CREATE UNIQUE INDEX idx_dim_logistics_np_unique ON dimension.dim_logistics_np USING btree (logistics_np)
logistics_np_name,Name of the logistics np.,"dimension.dim_logistics_np.""logistics_np_name""",dimension.dim_logistics_np,
logistics_np,Data representing the logistics np.,"dimension.dim_logistics_np.""logistics_np""",dimension.dim_logistics_np,
lnp_mask,Data representing the lnp mask.,"dimension.dim_logistics_np.""lnp_mask""",dimension.dim_logistics_np,
tsp_powered,Data representing the tsp powered.,"dimension.dim_logistics_np.""tsp_powered""",dimension.dim_logistics_np,
"▼ dim_logistics_seller_np   (base table, 4 cols)",,,dimension.dim_logistics_seller_np,CREATE UNIQUE INDEX idx_dim_logistics_seller_np_unique ON dimension.dim_logistics_seller_np USING btree (seller_np)
seller_np_name,Name of the seller np.,"dimension.dim_logistics_seller_np.""seller_np_name""",dimension.dim_logistics_seller_np,
seller_np,Data representing the seller np.,"dimension.dim_logistics_seller_np.""seller_np""",dimension.dim_logistics_seller_np,
snp_mask,Data representing the snp mask.,"dimension.dim_logistics_seller_np.""snp_mask""",dimension.dim_logistics_seller_np,
tsp_powered,Data representing the tsp powered.,"dimension.dim_logistics_seller_np.""tsp_powered""",dimension.dim_logistics_seller_np,
"▼ dim_mf_buyer_np   (base table, 4 cols)",,,dimension.dim_mf_buyer_np,
subscriber_id,Unique identifier for subscriber.,"dimension.dim_mf_buyer_np.""subscriber_id""",dimension.dim_mf_buyer_np,
np_name,Name of the np.,"dimension.dim_mf_buyer_np.""np_name""",dimension.dim_mf_buyer_np,
domain,"The ONDC network domain (e.g., retail, logistics).","dimension.dim_mf_buyer_np.""domain""",dimension.dim_mf_buyer_np,
tsp_powered,Data representing the tsp powered.,"dimension.dim_mf_buyer_np.""tsp_powered""",dimension.dim_mf_buyer_np,
"▼ dim_mf_seller_np   (base table, 3 cols)",,,dimension.dim_mf_seller_np,
subscriber_id,Unique identifier for subscriber.,"dimension.dim_mf_seller_np.""subscriber_id""",dimension.dim_mf_seller_np,
np_name,Name of the np.,"dimension.dim_mf_seller_np.""np_name""",dimension.dim_mf_seller_np,
tsp_powered,Data representing the tsp powered.,"dimension.dim_mf_seller_np.""tsp_powered""",dimension.dim_mf_seller_np,
"▼ dim_pincode   (base table, 5 cols)",,,dimension.dim_pincode,CREATE UNIQUE INDEX idx_dim_pincode_unique ON dimension.dim_pincode USING btree (pincode)
pincode,Indian postal code (pincode).,"dimension.dim_pincode.""pincode""",dimension.dim_pincode,
districtname,Name of the districtname.,"dimension.dim_pincode.""districtname""",dimension.dim_pincode,
statename,Turn-Around-Time (TAT) measurement.,"dimension.dim_pincode.""statename""",dimension.dim_pincode,
tier,Data representing the tier.,"dimension.dim_pincode.""tier""",dimension.dim_pincode,
zones,Data representing the zones.,"dimension.dim_pincode.""zones""",dimension.dim_pincode,
"▼ dim_provider_cred   (base table, 8 cols)",,,dimension.dim_provider_cred,
bpp_id,Unique identifier for the Seller App (BPP).,"dimension.dim_provider_cred.""bpp_id""",dimension.dim_provider_cred,
provider_id,Unique identifier for the provider.,"dimension.dim_provider_cred.""provider_id""",dimension.dim_provider_cred,
provider_name,Unique identifier for provider name.,"dimension.dim_provider_cred.""provider_name""",dimension.dim_provider_cred,
provider_key,Unique identifier for provider key.,"dimension.dim_provider_cred.""provider_key""",dimension.dim_provider_cred,
cred_code,Data representing the cred code.,"dimension.dim_provider_cred.""cred_code""",dimension.dim_provider_cred,
cred_short_desc,Data representing the cred short desc.,"dimension.dim_provider_cred.""cred_short_desc""",dimension.dim_provider_cred,
insert_date,Timestamp or date indicating when insert date occurred.,"dimension.dim_provider_cred.""insert_date""",dimension.dim_provider_cred,
cred_subtag,Data representing the cred subtag.,"dimension.dim_provider_cred.""cred_subtag""",dimension.dim_provider_cred,
"▼ dim_retail_buyer_np   (base table, 7 cols)",,,dimension.dim_retail_buyer_np,CREATE UNIQUE INDEX idx_dim_retail_buyer_np_unique ON dimension.dim_retail_buyer_np USING btree (buyer_np)
buyer_np_name,Name of the buyer np.,"dimension.dim_retail_buyer_np.""buyer_np_name""",dimension.dim_retail_buyer_np,
