Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
"▼ logistics_stock_bv   (view, 87 cols)",,,analytics_insight_preprod.logistics_stock_bv,"SELECT s.bap_id,
    s.bpp_id,
    s.order_id,
    s.retail_order_id,
    s.transaction_id,
    s.date,
    s.order_created_at,
    s.cancellation_code,
    s.latest_order_status,
    s.""Linked"",
    s.shipment_type,
    s.provider_name,
    s.pick_up_pincode,
    s.delivery_pincode,
    s.retail_category,
    s.assigned,
    s.cancelled_date,
    s.picked_date,
    s.dedup,
    s.rn_order,
    cc.attributed_to AS ""Cancellation Attributed to"",
    cc.by AS ""Cancellation By"",
        CASE
            WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
            ELSE NULL::numeric
        END AS ""Cancel sec"",
    lnp.logistics_np_name AS ""Logistics NP Name"",
    lnp.lnp_mask AS ""LNP Mask"",
    lnp.tsp_powered AS ""TSP Powered"",
    s.rn_order AS ""Overall"",
    s.rn_order AS ""Overall Orders"",
    s.rn_order AS ""Overall Orders Dedup"",
        CASE
            WHEN s.dedup = 1 THEN s.rn_order
            ELSE 0::bigint
        END AS ""Overall Deduped"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Cancelled Overall"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 THEN s.rn_order
            ELSE 0::bigint
        END AS ""Driver Assigned"",
        CASE
            WHEN s.dedup = 1 AND s.latest_order_status::text = 'Completed'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Delivered Ded"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.picked_date IS NOT NULL AND s.latest_order_status::text = 'Cancelled'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Post assgn Post Pickup SO Dedup Cancelled"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 THEN s.rn_order
            ELSE 0::bigint
        END AS ""Preassigned SO Dedup"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 0 AND s.dedup = 1 THEN s.rn_order
            ELSE 0::bigint
        END AS ""Pre Assigned SO"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.dedup = 1 AND s.assigned = 1 THEN s.rn_order
            ELSE 0::bigint
        END AS ""Post Assigned SO Dedup"",
        CASE
            WHEN NOT (s.date >= '2024-05-01'::date AND s.assigned = 0 AND upper(s.latest_order_status::text) = 'CANCELLED'::text AND
            CASE
                WHEN s.bpp_id::text = 'ondc-lsp.olacabs.com'::text THEN 'P2P'::character varying
                ELSE s.shipment_type
            END::text = 'P2P'::text) THEN s.rn_order
            ELSE 0::bigint
        END AS ""Confirmed"",
        CASE
            WHEN s.dedup = 1 AND s.assigned = 0 AND cc.attributed_to::text = 'Buyer App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Buyer Led SO Dedup PA"",
        CASE
            WHEN s.dedup = 1 AND cc.attributed_to::text = 'Seller App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led SO Dedup"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Buyer App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Buyer Led SO Preassgn"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Buyer App'::text AND cc.by::text = 'Seller App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Buyer Led - Seller by"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.by::text = 'Logistics Provider'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Log By Pre Assigned SO"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Logistics Provider'::text AND cc.by::text = 'Buyer App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Logistics Led - Buyer by(PA)"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 1 AND s.dedup = 1 AND s.picked_date IS NULL AND cc.attributed_to::text = 'Logistics Provider'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END < 1200::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""LSP Led SO (Postassgn) < 20 mins (Not Picked)"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 0 AND s.dedup = 1 AND cc.attributed_to::text = 'Seller App'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END >= 900::numeric AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END < 1200::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led SO (Preassgn) 15-20 mins"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 0 AND s.dedup = 1 AND cc.attributed_to::text = 'Seller App'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END >= 600::numeric AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END < 900::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led SO (Preassgn) 10-15 mins"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 1 AND s.picked_date IS NULL AND s.dedup = 1 AND cc.attributed_to::text = 'Seller App'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END >= 120::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led SO (Postassgn) > 2 mins (Not Picked)"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 1 AND s.picked_date IS NOT NULL AND s.dedup = 1 AND cc.attributed_to::text = 'Seller App'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END >= 120::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led SO (Postassgn) > 2 mins (Picked)"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Logistics Provider'::text AND s.dedup = 1 AND s.assigned = 1 THEN s.rn_order
            ELSE 0::bigint
        END AS ""Log Led SO Postassgn"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND cc.by::text = 'Logistics Provider'::text AND s.dedup = 1 AND s.assigned = 1 THEN s.rn_order
            ELSE 0::bigint
        END AS ""Log By SO Postassgn"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 1 AND s.dedup = 1 AND s.picked_date IS NULL AND cc.attributed_to::text = 'Logistics Provider'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END > 1200::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""LSP Led SO (Postassgn) > 20 mins (Not Picked)"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 0 AND s.dedup = 1 AND cc.attributed_to::text = 'Logistics Provider'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END < 120::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""LSP Led SO (Preassgn) 0-2 mins"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 0 AND s.dedup = 1 AND cc.attributed_to::text = 'Logistics Provider'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END >= 120::numeric AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END < 300::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""LSP Led SO (Preassgn) 2-5 mins"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 0 AND s.dedup = 1 AND cc.attributed_to::text = 'Logistics Provider'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END >= 300::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""LSP Led SO (Preassgn) >5 mins"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 1 AND s.dedup = 1 AND cc.attributed_to::text = 'Logistics Provider'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END < 120::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""LSP Led SO (Postassgn) 0-2 mins"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 1 AND s.dedup = 1 AND cc.attributed_to::text = 'Seller App'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END < 120::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led SO (Postassgn) 0-2 mins"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 0 AND s.dedup = 1 AND cc.attributed_to::text = 'Seller App'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END >= 1200::numeric AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END < 1800::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led SO (Preassgn) 20-30 mins"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 0 AND s.dedup = 1 AND cc.attributed_to::text = 'Seller App'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END >= 1800::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led SO (Preassgn) >30 mins"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 0 AND s.dedup = 1 AND cc.attributed_to::text = 'Seller App'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END >= 360::numeric AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END < 600::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led SO (Preassgn) 6-10 mins"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 0 AND s.dedup = 1 AND cc.attributed_to::text = 'Seller App'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END >= 120::numeric AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END < 360::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led SO (Preassgn) 2-6 mins"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND s.assigned = 0 AND s.dedup = 1 AND cc.attributed_to::text = 'Seller App'::text AND
            CASE
                WHEN s.cancelled_date IS NOT NULL THEN EXTRACT(epoch FROM s.cancelled_date - s.order_created_at)
                ELSE NULL::numeric
            END < 120::numeric THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led SO (Preassgn) 0-2 mins"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Logistics Provider'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Logistics Led Post Assigned Cancel"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Buyer App'::text AND cc.by::text = 'Seller App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Buyer Led - Seller by(PA)"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Seller App'::text AND cc.by::text = 'Seller App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led - Seller by"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.by::text = 'Seller App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant By Pre Assigned SO"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Logistics Provider'::text AND cc.by::text = 'Seller App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Logistics Led - Seller by"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Seller App'::text AND cc.by::text = 'Buyer App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led - Buyer by"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Seller App'::text AND cc.by::text = 'Logistics Provider'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led - Logistics by (Post Assigned)"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Seller App'::text AND cc.by::text = 'Buyer App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led - Buyer by (PA)"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Logistics Provider'::text AND cc.by::text = 'Logistics Provider'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Logistics Led - Logistics by"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Logistics Provider'::text AND cc.by::text = 'Buyer App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Logistics Led - Buyer by"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Logistics Provider'::text AND cc.by::text = 'Seller App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Logistics Led - Seller by(PA)"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Buyer App'::text AND cc.by::text = 'Logistics Provider'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Buyer Led - Logistics by(PA)"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.by::text = 'Logistics Provider'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Logistics By SO Dedup Preassigned"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Buyer App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Buyer Led Post Assigned Cancel"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Logistics Provider'::text AND cc.by::text = 'Logistics Provider'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Logistics Led - Logistics by(PA)"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Seller App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led Pre Assigned SO"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Buyer App'::text AND cc.by::text = 'Buyer App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Buyer Led - Buyer by(PA)"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Buyer App'::text AND cc.by::text = 'Logistics Provider'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Buyer Led - Logistics by"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Logistics Provider'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Logistics Led SO Dedup"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Seller App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led Post Assigned Cancel"",
        CASE
            WHEN s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Seller App'::text AND s.dedup = 1 AND s.assigned = 1 THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led SO Postassgn"",
        CASE
            WHEN cc.attributed_to::text = 'Seller App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led Preassigned SO"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Seller App'::text AND cc.by::text = 'Logistics Provider'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led - Logistics by"",
        CASE
            WHEN s.assigned = 0 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Buyer App'::text AND cc.by::text = 'Buyer App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Buyer Led - Buyer by"",
        CASE
            WHEN s.assigned = 1 AND s.dedup = 1 AND s.latest_order_status::text = 'Cancelled'::text AND cc.attributed_to::text = 'Seller App'::text AND cc.by::text = 'Seller App'::text THEN s.rn_order
            ELSE 0::bigint
        END AS ""Merchant Led - Seller by (Post)""
   FROM analytics_insight_preprod.logistics_stck_mv s
     LEFT JOIN dimension.dim_cancellation_code cc ON s.cancellation_code::text = cc.code::text
     LEFT JOIN dimension.dim_logistics_np lnp ON s.bpp_id::text = lnp.logistics_np::text;"
bap_id,Unique identifier for the Buyer App (BAP).,"analytics_insight_preprod.logistics_stock_bv.""bap_id""",analytics_insight_preprod.logistics_stock_bv,
bpp_id,Unique identifier for the Seller App (BPP).,"analytics_insight_preprod.logistics_stock_bv.""bpp_id""",analytics_insight_preprod.logistics_stock_bv,
order_id,Unique identifier for order.,"analytics_insight_preprod.logistics_stock_bv.""order_id""",analytics_insight_preprod.logistics_stock_bv,
retail_order_id,Unique identifier for retail order.,"analytics_insight_preprod.logistics_stock_bv.""retail_order_id""",analytics_insight_preprod.logistics_stock_bv,
transaction_id,Unique ONDC transaction identifier.,"analytics_insight_preprod.logistics_stock_bv.""transaction_id""",analytics_insight_preprod.logistics_stock_bv,
date,Timestamp or date indicating when date occurred.,"analytics_insight_preprod.logistics_stock_bv.""date""",analytics_insight_preprod.logistics_stock_bv,
order_created_at,Timestamp when the record was created.,"analytics_insight_preprod.logistics_stock_bv.""order_created_at""",analytics_insight_preprod.logistics_stock_bv,
cancellation_code,Timestamp or date indicating when cancellation code occurred.,"analytics_insight_preprod.logistics_stock_bv.""cancellation_code""",analytics_insight_preprod.logistics_stock_bv,
latest_order_status,Turn-Around-Time (TAT) measurement.,"analytics_insight_preprod.logistics_stock_bv.""latest_order_status""",analytics_insight_preprod.logistics_stock_bv,
