Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
delivery_state,Turn-Around-Time (TAT) measurement.,"prod.fact_order_detail.""delivery_state""",prod.fact_order_detail,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"prod.fact_order_detail.""delivery_state_code""",prod.fact_order_detail,
seller_district,Data representing the seller district.,"prod.fact_order_detail.""seller_district""",prod.fact_order_detail,
seller_state,Turn-Around-Time (TAT) measurement.,"prod.fact_order_detail.""seller_state""",prod.fact_order_detail,
seller_state_code,Turn-Around-Time (TAT) measurement.,"prod.fact_order_detail.""seller_state_code""",prod.fact_order_detail,
"▼ fact_order_detail_b2b   (base table, 11 cols)",,,prod.fact_order_detail_b2b,"CREATE INDEX fact_order_detail_b2b_provider_key_idx ON prod.fact_order_detail_b2b USING btree (provider_key)

CREATE INDEX fact_order_detail_b2b_network_order_id_idx ON prod.fact_order_detail_b2b USING btree (network_order_id)

CREATE INDEX fact_order_detail_b2b_domain_idx ON prod.fact_order_detail_b2b USING btree (domain)

CREATE INDEX fact_order_detail_b2b_seller_np_idx ON prod.fact_order_detail_b2b USING btree (seller_np)"
network_order_id,Data representing the network order id.,"prod.fact_order_detail_b2b.""network_order_id""",prod.fact_order_detail_b2b,
seller_np,Data representing the seller np.,"prod.fact_order_detail_b2b.""seller_np""",prod.fact_order_detail_b2b,
total_items,Data representing the total items.,"prod.fact_order_detail_b2b.""total_items""",prod.fact_order_detail_b2b,
domain,"The ONDC network domain (e.g., retail, logistics).","prod.fact_order_detail_b2b.""domain""",prod.fact_order_detail_b2b,
provider_key,Unique identifier for provider key.,"prod.fact_order_detail_b2b.""provider_key""",prod.fact_order_detail_b2b,
order_status,Turn-Around-Time (TAT) measurement.,"prod.fact_order_detail_b2b.""order_status""",prod.fact_order_detail_b2b,
delivery_pincode,Indian postal code (pincode).,"prod.fact_order_detail_b2b.""delivery_pincode""",prod.fact_order_detail_b2b,
order_date,Timestamp or date indicating when order date occurred.,"prod.fact_order_detail_b2b.""order_date""",prod.fact_order_detail_b2b,
delivery_district,Data representing the delivery district.,"prod.fact_order_detail_b2b.""delivery_district""",prod.fact_order_detail_b2b,
delivery_state,Turn-Around-Time (TAT) measurement.,"prod.fact_order_detail_b2b.""delivery_state""",prod.fact_order_detail_b2b,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"prod.fact_order_detail_b2b.""delivery_state_code""",prod.fact_order_detail_b2b,
"▼ landing_page_echart   (base table, 3 cols)",,,prod.landing_page_echart,
month,Data representing the month.,"prod.landing_page_echart.""month""",prod.landing_page_echart,
domain,"The ONDC network domain (e.g., retail, logistics).","prod.landing_page_echart.""domain""",prod.landing_page_echart,
order_count,Data representing the order count.,"prod.landing_page_echart.""order_count""",prod.landing_page_echart,
"▼ logistics_active_sellers   (base table, 6 cols)",,,prod.logistics_active_sellers,"CREATE INDEX logistics_active_sellers_provider_key_idx ON prod.logistics_active_sellers USING btree (provider_key)

CREATE INDEX logistics_active_sellers_seller_state_idx ON prod.logistics_active_sellers USING btree (seller_state)

CREATE INDEX logistics_active_sellers_seller_district_idx ON prod.logistics_active_sellers USING btree (seller_district)"
provider_key,Unique identifier for provider key.,"prod.logistics_active_sellers.""provider_key""",prod.logistics_active_sellers,
seller_district,Data representing the seller district.,"prod.logistics_active_sellers.""seller_district""",prod.logistics_active_sellers,
seller_state,Turn-Around-Time (TAT) measurement.,"prod.logistics_active_sellers.""seller_state""",prod.logistics_active_sellers,
seller_state_code,Turn-Around-Time (TAT) measurement.,"prod.logistics_active_sellers.""seller_state_code""",prod.logistics_active_sellers,
order_month,Data representing the order month.,"prod.logistics_active_sellers.""order_month""",prod.logistics_active_sellers,
order_year,Data representing the order year.,"prod.logistics_active_sellers.""order_year""",prod.logistics_active_sellers,
"▼ logistics_district_level_orders   (base table, 14 cols)",,,prod.logistics_district_level_orders,"CREATE INDEX logistics_district_level_orders_delivery_district_idx ON prod.logistics_district_level_orders USING btree (delivery_district)

CREATE INDEX logistics_district_level_orders_order_date_idx ON prod.logistics_district_level_orders USING btree (order_date)

CREATE INDEX logistics_district_level_orders_delivery_state_idx ON prod.logistics_district_level_orders USING btree (delivery_state)

CREATE INDEX logistics_district_level_orders_seller_district_idx ON prod.logistics_district_level_orders USING btree (seller_district)

CREATE INDEX logistics_district_level_orders_seller_state_idx ON prod.logistics_district_level_orders USING btree (seller_state)"
order_date,Timestamp or date indicating when order date occurred.,"prod.logistics_district_level_orders.""order_date""",prod.logistics_district_level_orders,
delivery_district,Data representing the delivery district.,"prod.logistics_district_level_orders.""delivery_district""",prod.logistics_district_level_orders,
delivery_state,Turn-Around-Time (TAT) measurement.,"prod.logistics_district_level_orders.""delivery_state""",prod.logistics_district_level_orders,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"prod.logistics_district_level_orders.""delivery_state_code""",prod.logistics_district_level_orders,
seller_state,Turn-Around-Time (TAT) measurement.,"prod.logistics_district_level_orders.""seller_state""",prod.logistics_district_level_orders,
seller_district,Data representing the seller district.,"prod.logistics_district_level_orders.""seller_district""",prod.logistics_district_level_orders,
seller_state_code,Turn-Around-Time (TAT) measurement.,"prod.logistics_district_level_orders.""seller_state_code""",prod.logistics_district_level_orders,
total_orders_delivered,Data representing the total orders delivered.,"prod.logistics_district_level_orders.""total_orders_delivered""",prod.logistics_district_level_orders,
pincode_count,Indian postal code (pincode).,"prod.logistics_district_level_orders.""pincode_count""",prod.logistics_district_level_orders,
intrastate_orders,Turn-Around-Time (TAT) measurement.,"prod.logistics_district_level_orders.""intrastate_orders""",prod.logistics_district_level_orders,
intradistrict_orders,Data representing the intradistrict orders.,"prod.logistics_district_level_orders.""intradistrict_orders""",prod.logistics_district_level_orders,
interstate_orders,Turn-Around-Time (TAT) measurement.,"prod.logistics_district_level_orders.""interstate_orders""",prod.logistics_district_level_orders,
intrastate_orders_percentage,Turn-Around-Time (TAT) measurement.,"prod.logistics_district_level_orders.""intrastate_orders_percentage""",prod.logistics_district_level_orders,
intradistrict_orders_percentage,Data representing the intradistrict orders percentage.,"prod.logistics_district_level_orders.""intradistrict_orders_percentage""",prod.logistics_district_level_orders,
"▼ logistics_fact_order_detail   (base table, 25 cols)",,,prod.logistics_fact_order_detail,"CREATE INDEX logistics_fact_order_detail_seller_district_idx ON prod.logistics_fact_order_detail USING btree (seller_district)

CREATE INDEX logistics_fact_order_detail_bpp_id_idx ON prod.logistics_fact_order_detail USING btree (bpp_id)

CREATE INDEX logistics_fact_order_detail_bap_id_idx ON prod.logistics_fact_order_detail USING btree (bap_id)

CREATE INDEX logistics_fact_order_detail_delivery_state_idx ON prod.logistics_fact_order_detail USING btree (delivery_state)

CREATE INDEX logistics_fact_order_detail_provider_id_idx ON prod.logistics_fact_order_detail USING btree (provider_id)

CREATE INDEX logistics_fact_order_detail_item_id_idx ON prod.logistics_fact_order_detail USING btree (item_id)

CREATE INDEX logistics_fact_order_detail_pick_up_pincode_idx ON prod.logistics_fact_order_detail USING btree (pick_up_pincode)

CREATE INDEX logistics_fact_order_detail_seller_state_idx ON prod.logistics_fact_order_detail USING btree (seller_state)

CREATE INDEX logistics_fact_order_detail_delivery_district_idx ON prod.logistics_fact_order_detail USING btree (delivery_district)

CREATE INDEX logistics_fact_order_detail_delivery_pincode_idx ON prod.logistics_fact_order_detail USING btree (delivery_pincode)"
bap_id,Unique identifier for the Buyer App (BAP).,"prod.logistics_fact_order_detail.""bap_id""",prod.logistics_fact_order_detail,
bpp_id,Unique identifier for the Seller App (BPP).,"prod.logistics_fact_order_detail.""bpp_id""",prod.logistics_fact_order_detail,
provider_id,Unique identifier for the provider.,"prod.logistics_fact_order_detail.""provider_id""",prod.logistics_fact_order_detail,
order_id,Unique identifier for order.,"prod.logistics_fact_order_detail.""order_id""",prod.logistics_fact_order_detail,
transaction_id,Unique ONDC transaction identifier.,"prod.logistics_fact_order_detail.""transaction_id""",prod.logistics_fact_order_detail,
item_id,Unique identifier for item.,"prod.logistics_fact_order_detail.""item_id""",prod.logistics_fact_order_detail,
fulfillment_status,Turn-Around-Time (TAT) measurement.,"prod.logistics_fact_order_detail.""fulfillment_status""",prod.logistics_fact_order_detail,
order_date,Timestamp or date indicating when order date occurred.,"prod.logistics_fact_order_detail.""order_date""",prod.logistics_fact_order_detail,
domain,"The ONDC network domain (e.g., retail, logistics).","prod.logistics_fact_order_detail.""domain""",prod.logistics_fact_order_detail,
f_agent_assigned_at_date,Timestamp or date indicating when f agent assigned at date occurred.,"prod.logistics_fact_order_detail.""f_agent_assigned_at_date""",prod.logistics_fact_order_detail,
Log_Ondc_Status,Turn-Around-Time (TAT) measurement.,"prod.logistics_fact_order_detail.""Log_Ondc_Status""",prod.logistics_fact_order_detail,
network_retail_order_id,Data representing the network retail order id.,"prod.logistics_fact_order_detail.""network_retail_order_id""",prod.logistics_fact_order_detail,
shipment_type,Data representing the shipment type.,"prod.logistics_fact_order_detail.""shipment_type""",prod.logistics_fact_order_detail,
pick_up_pincode,Indian postal code (pincode).,"prod.logistics_fact_order_detail.""pick_up_pincode""",prod.logistics_fact_order_detail,
delivery_pincode,Indian postal code (pincode).,"prod.logistics_fact_order_detail.""delivery_pincode""",prod.logistics_fact_order_detail,
network_retail_order_category,Timestamp or date indicating when network retail order category occurred.,"prod.logistics_fact_order_detail.""network_retail_order_category""",prod.logistics_fact_order_detail,
on_confirm_sync_response,Data representing the on confirm sync response.,"prod.logistics_fact_order_detail.""on_confirm_sync_response""",prod.logistics_fact_order_detail,
on_confirm_error_code,Error code associated with a failure or issue.,"prod.logistics_fact_order_detail.""on_confirm_error_code""",prod.logistics_fact_order_detail,
on_confirm_error_message,Data representing the on confirm error message.,"prod.logistics_fact_order_detail.""on_confirm_error_message""",prod.logistics_fact_order_detail,
delivery_district,Data representing the delivery district.,"prod.logistics_fact_order_detail.""delivery_district""",prod.logistics_fact_order_detail,
delivery_state,Turn-Around-Time (TAT) measurement.,"prod.logistics_fact_order_detail.""delivery_state""",prod.logistics_fact_order_detail,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"prod.logistics_fact_order_detail.""delivery_state_code""",prod.logistics_fact_order_detail,
seller_district,Data representing the seller district.,"prod.logistics_fact_order_detail.""seller_district""",prod.logistics_fact_order_detail,
seller_state,Turn-Around-Time (TAT) measurement.,"prod.logistics_fact_order_detail.""seller_state""",prod.logistics_fact_order_detail,
seller_state_code,Turn-Around-Time (TAT) measurement.,"prod.logistics_fact_order_detail.""seller_state_code""",prod.logistics_fact_order_detail,
"▼ logistics_providers   (base table, 5 cols)",,,prod.logistics_providers,"CREATE INDEX logistics_providers_order_date_idx ON prod.logistics_providers USING btree (order_date)

CREATE INDEX logistics_providers_seller_district_idx ON prod.logistics_providers USING btree (seller_district)

CREATE INDEX logistics_providers_provider_key_idx ON prod.logistics_providers USING btree (provider_key)

CREATE INDEX logistics_providers_seller_state_idx ON prod.logistics_providers USING btree (seller_state)"
